round,loss
1,0.6071817379215128
2,0.510295516620053
3,0.38439585422702516
4,0.28003025184368
5,0.21547604138506002
6,0.1816845384663615
7,0.16511879679784378
8,0.15875447033417608
9,0.1574717742338497
10,0.15789033004180117
11,0.1582979229700829
12,0.1575705339083443
13,0.15638569310749445
14,0.15487976584186522
15,0.1527358624004277
16,0.15042071195504061
